Number,Label,Length_px
47,FR_NTR1_C1_F_TARSUS_15.tif,79.63
48,FR_NTR1_C1_F_TARSUS_16.tif,96.333
49,FR_NTR1_C1_F_TARSUS_17.tif,87.367
50,FR_NTR1_C1_F_TARSUS_18.tif,86.348
51,FR_NTR1_C1_F_TARSUS_19.tif,82.765
52,FR_NTR1_C1_F_TARSUS_2.tif,84.291
53,FR_NTR1_C1_F_TARSUS_20.tif,86.371
54,FR_NTR1_C1_F_TARSUS_3.tif,75.273
55,FR_NTR1_C1_F_TARSUS_4.tif,95.021
56,FR_NTR1_C1_F_TARSUS_5.tif,87.864
57,FR_NTR1_C1_F_TARSUS_6.tif,95.603
58,FR_NTR1_C1_F_TARSUS_7.tif,103.6
59,FR_NTR1_C1_F_TARSUS_8.tif,92.698
60,FR_NTR1_C1_F_TARSUS_9.tif,91.214
41,FR_NTR1_C1_F_THORAX_1.tif,552.675
42,FR_NTR1_C1_F_THORAX_10.tif,525.465
43,FR_NTR1_C1_F_THORAX_11.tif,550.004
44,FR_NTR1_C1_F_THORAX_12.tif,527.804
45,FR_NTR1_C1_F_THORAX_13.tif,440.514
46,FR_NTR1_C1_F_THORAX_14.tif,362.945
47,FR_NTR1_C1_F_THORAX_15.tif,476.004
48,FR_NTR1_C1_F_THORAX_16.tif,494.499
49,FR_NTR1_C1_F_THORAX_17.tif,469.622
50,FR_NTR1_C1_F_THORAX_18.tif,450.774
51,FR_NTR1_C1_F_THORAX_19.tif,437.476
52,FR_NTR1_C1_F_THORAX_2.tif,456.448
53,FR_NTR1_C1_F_THORAX_20.tif,439.167
54,FR_NTR1_C1_F_THORAX_3.tif,450.444
55,FR_NTR1_C1_F_THORAX_4.tif,573.664
56,FR_NTR1_C1_F_THORAX_5.tif,495.679
57,FR_NTR1_C1_F_THORAX_6.tif,543.346
58,FR_NTR1_C1_F_THORAX_7.tif,519.086
59,FR_NTR1_C1_F_THORAX_8.tif,441.209
60,FR_NTR1_C1_F_THORAX_9.tif,511.283
41,FR_NTR1_C1_F_TIBIA_1.tif,253.712
42,FR_NTR1_C1_F_TIBIA_10.tif,260.432
43,FR_NTR1_C1_F_TIBIA_11.tif,252.606
44,FR_NTR1_C1_F_TIBIA_12.tif,247.952
45,FR_NTR1_C1_F_TIBIA_13.tif,216.684
