"treatment","cohort0","replicate","cohort","sex","individual","tarsus","femur","tibia","winglength","wingwidth","thorax","head","thorax_c","cohort_n"
"NT","1","1",1,"F","20",7.56083751721556,9.18948222404652,8.88993325531331,11.1324265198338,10.0447296708727,10.0302981122124,9.78268730002246,0.165978436721762,2
"NT","1","1",1,"M","1",7.37602013057477,9.04951821613292,8.76678900091504,10.8556709745811,9.79749983768868,9.67548266455854,9.61594921966713,-0.188837010932129,2
"NT","1","1",1,"M","2",7.47215727846304,9.13538793327771,8.92632831790503,10.9177827937347,9.90380407665484,9.77972926850872,9.61057317414785,-0.0845904069819543,2
"NT","1","1",1,"M","3",7.3547342399706,9.02623863775104,8.71220946941731,10.8387712770078,9.79227070041134,9.72446432997212,9.54675627857418,-0.139855345518553,2
"NT","1","1",1,"M","4",7.36801782678903,9.02119131503844,8.76018208367814,10.843669852918,9.77626358396585,9.68469133219558,9.57149395893145,-0.179628343295086,2
"NT","1","1",1,"M","5",7.32361253963406,9.03064253022494,8.67703607561332,10.8171554568745,9.77185026321093,9.69870084735603,9.56758233287855,-0.165618828134635,2
"NT","1","1",1,"M","6",7.58241931382844,9.18145373744298,8.87860979129912,10.9703752452539,9.91493504547712,9.81826260830447,9.68971848768341,-0.0460570671861955,2
"NT","1","1",1,"M","7",7.32429919834251,8.88652966266515,8.68170948637651,10.815564654078,9.72315656992371,9.65472716960868,9.61015796058067,-0.209592505881989,2
"NT","1","1",1,"M","8",7.2119190457618,8.92125606597758,8.57863414552937,10.7410263072296,9.68121275582788,9.65780725725448,9.51200053886193,-0.206512418236194,2
"NT","1","1",1,"M","9",7.47183987542609,9.14248011808968,8.80220523935041,10.9237654128405,9.83910969485203,9.86321506370971,9.69439577814703,-0.00110461178096344,2
"NT","1","1",1,"M","10",7.52825420990663,9.10280996114893,8.85883454443245,10.9126065762118,9.84809045327858,9.85076123789816,9.6793497584365,-0.013558437592506,2
"NT","1","1",1,"M","11",7.3200064081645,9.17161316879745,8.90380407665484,10.9525768783178,9.85174847932697,9.92063106475894,9.69760071300485,0.0563113892682665,2
"NT","1","1",1,"M","12",7.43912326018419,9.18202208509241,8.88609868580133,10.944701959947,9.83492590916137,9.80946377234659,9.66489764088486,-0.054855903144075,2
"NT","1","1",1,"M","13",7.53915881110803,9.18843856023719,8.93141028060598,10.9727365745552,9.89814294715766,9.87895414643993,9.73076798602439,0.014634470949261,2
"NT","1","1",1,"M","14",7.29867261049029,9.14038940684648,8.91793675347907,10.9589632958582,9.95060675133365,9.81083373801635,9.69010884159163,-0.0534859374743188,2
"NT","1","1",1,"M","15",7.45281993236792,9.18355965970508,8.87847865975074,10.9738537514238,9.88352432183172,9.8875387959442,9.72695835982683,0.0232191204535273,2
"NT","1","1",1,"M","16",7.41928791490474,9.16236081279037,8.88933353737053,10.9289238421593,9.87554504089393,9.80793291477318,9.71076256683956,-0.0563867607174888,2
"NT","1","1",1,"M","17",7.42040054331458,9.15849669161093,8.84267656305451,10.9539438166609,9.95702212507429,9.90069270825042,9.73583522819087,0.0363730327597533,2
"NT","1","1",1,"M","18",7.43387182367915,9.12665822327337,8.75116154356833,10.9556499947003,9.8635345247341,9.86918387763001,9.67465470404255,0.00486420213934124,2
"NT","1","1",1,"M","19",7.56258450848524,9.12793460067485,8.88295887941943,10.9584091347559,9.92416457024544,9.84236832198508,9.6846212789965,-0.0219513535055871,2
"NT","1","1",1,"M","20",7.29057111365463,9.15905537805243,8.87671577921331,10.8561835184125,9.80292339649517,9.8578589827411,9.68807836461272,-0.00646069274956496,2
"NT","2","1",2,"F","1",7.59497275655963,8.9618722828192,8.70715258411124,10.9919347690617,9.86383406553116,9.82691877386446,9.54601955113897,-0.03740090162621,3
"NT","2","1",2,"F","2",7.29800206263919,8.9384143629389,8.58395316288295,10.9467658131443,9.82581230257827,9.67102907122823,9.51698681028169,-0.193290604262438,3
"NT","2","1",2,"F","3",7.47748046526002,9.04006566802274,8.76139751407415,10.9557621369917,9.85928818713974,9.83351681756412,9.59906147532275,-0.0308028579265454,3
"NT","2","1",2,"F","4",7.43654132322635,8.99347148264691,8.66174304519998,10.9355197262512,9.82026354272029,9.75410937248816,9.49929963194462,-0.110210303002514,3
"NT","2","1",2,"F","5",7.46534077986372,9.05065764722476,8.6813951491801,10.9594566032725,9.81836858528825,9.77431194603698,9.56858654172987,-0.0900077294536903,3
"NT","2","1",2,"F","6",7.43257931393371,9.01172931539801,8.73574758078749,10.9318320547808,9.84607720241846,9.80462042167719,9.58525461689117,-0.0596992538134824,3
"NT","2","1",2,"F","7",7.47931238318781,9.07200394192868,8.69644055081977,10.9912389055515,9.84825639925805,9.84002658259613,9.6534710205606,-0.0242930928945384,3
"NT","2","1",2,"F","8",7.41889425384143,8.96483236903682,8.71437878905222,10.9385076668246,9.84912366586137,9.7775681857885,9.60641565114627,-0.0867514897021735,3
"NT","2","1",2,"F","9",7.38955029225928,9.02101892863408,8.70156804694305,10.9941808547505,9.83673176492005,9.81898613943808,9.52099135646233,-0.0453335360525866,3
"NT","2","1",2,"F","10",7.33542179884998,9.0212120844326,8.71828763988018,10.9738977801022,9.8642314371374,9.76731189232661,9.55532374828977,-0.0970077831640612,3
"NT","2","1",2,"F","11",7.4235781709818,8.98451655303222,8.5955745224438,10.9176954038675,9.76742032137894,9.76417481637397,9.537140729805,-0.100144859116698,3
"NT","2","1",2,"F","12",7.35034978762877,8.98212450264298,8.74301671384346,10.9672542909498,9.80309762341756,9.76533085846152,9.54509954151619,-0.0989888170291522,3
"NT","2","1",2,"F","13",7.30258080359573,8.96812324688709,8.59883294527562,10.941505805724,9.83902180174476,9.73812969487497,9.55540036957268,-0.126189980615701,3
"NT","2","1",2,"F","14",7.50887387963566,9.03009391660699,8.7049694592452,10.9815781983969,9.88537253888841,9.82237669534466,9.62100435027069,-0.0419429801460112,3
"NT","2","1",2,"F","15",7.31352159209267,8.93843612360306,8.72569044864427,10.923928403945,9.78493434543805,9.76790959095386,9.56566480059932,-0.0964100845368119,3
"NT","2","1",2,"F","16",7.48253951587157,9.06253481681403,8.70369486922515,10.9945123367234,9.8277831472919,9.78576023206838,9.59426853742918,-0.0785594434222876,3
"NT","2","1",2,"F","17",7.37386637375593,8.95617888589252,8.67926642406586,10.8853384917825,9.74952897152068,9.76425584313818,9.55739676359024,-0.100063832352486,3
"NT","2","1",2,"F","18",7.44231056113565,9.01436187704368,8.68629125119059,10.9691737207224,9.80382134105332,9.80753981991685,9.56003830327598,-0.0567798555738168,3
"NT","2","1",2,"F","19",7.25643327377336,9.0641193211465,8.71523761326019,10.954494286307,9.83068870023155,9.79921205959918,9.57419947114573,-0.0651076158914847,3
"NT","2","1",2,"F","20",7.40357825016111,9.00517876053642,8.7660544472828,10.9535717587729,9.84245736289999,9.79621810898409,9.63760915950899,-0.0681015665065789,3
"NT","2","1",2,"M","1",7.11928022187787,9.00011698880751,8.56942987455254,10.8130879058775,9.75607303047687,9.64827847880457,9.47560123189776,-0.216041196686096,3
"NT","2","1",2,"M","2",7.24086267822525,9.00297474375935,8.60277071036982,10.7996376852339,9.67245599891539,9.56976987932591,9.42094845395048,-0.294549796164757,3
"NT","2","1",2,"M","3",7.25379152482173,8.95480258028401,8.73234776399397,10.8430929516156,9.72994431956462,9.66313423472239,9.49633746975638,-0.201185440768278,3
"NT","2","1",2,"M","4",7.18151366821098,8.97451279298044,8.68911335964668,10.768048288104,9.64622059569897,9.63589257522963,9.41574024743947,-0.22842710026104,3
"NT","2","1",2,"M","5",7.18076331052185,8.87079253236745,8.68289222241687,10.83165199247,9.76839293795572,9.65166438346056,9.49634633873784,-0.212655292030105,3
"NT","2","1",2,"M","6",7.21298364564982,8.95454437674784,8.71273594395146,10.8184369420653,9.71568265333706,9.64486860637676,9.50536736567012,-0.219451069113907,3
"NT","2","1",2,"M","7",7.31930866954546,9.03208563129621,8.76179600445038,10.8149302248407,9.79727366432606,9.63481598617649,9.53716659462368,-0.229503689314175,3
"NT","2","1",2,"M","8",7.26289839535903,8.91104677838641,8.58972289563778,10.756339885355,9.68310072843387,9.58052427784435,9.47248777146274,-0.283795397646321,3
"NT","2","1",2,"M","9",7.2391253335988,8.99733294616524,8.71685224090905,10.8048492367321,9.75033614165859,9.63690936159428,9.44835636971784,-0.227410313896389,3
"NT","2","1",2,"M","10",7.13936552949631,8.84496632031893,8.48687282269398,10.6862212406142,9.59097983612513,9.56853311404794,9.44014518899814,-0.295786561442727,3
"NT","2","1",2,"M","11",7.32497941190086,9.02810353829698,8.70267541075917,10.8142299438444,9.71587731306481,9.68917543574324,9.48763442508242,-0.175144239747432,3
"NT","2","1",2,"M","12",7.2166345117872,8.85457856875564,8.53823814001783,10.7688851521056,9.66953291720966,9.54645934843341,9.47253886600731,-0.317860327057257,3
"NT","2","1",2,"M","13",7.1978944776541,8.97477169150385,8.7227672375856,10.8272574580505,9.75805154712684,9.68793340603757,9.50611046047818,-0.176386269453104,3
"NT","2","1",2,"M","14",7.29280971957485,8.89952175840961,8.58425360264497,10.7766827599303,9.65354249525993,9.57761825429895,9.41531814942669,-0.286701421191717,3
"NT","2","1",2,"M","15",7.19553658529377,8.83880998570856,8.49771151157187,10.6601775286059,9.62049843855997,9.46859626797125,9.38986223802351,-0.395723407519418,3
"NT","2","1",2,"M","16",7.20605904238912,8.98544361851511,8.64080888720247,10.7928546692681,9.65934815708355,9.63204161314048,9.50238232112608,-0.232278062350186,3
"NT","2","1",2,"M","17",7.18933237758517,8.95156308453425,8.61470513326657,10.771259263694,9.6827644712679,9.62999774826038,9.46513234746673,-0.234321927230289,3
"NT","2","1",2,"M","18",7.27505324877069,8.80972311913795,8.41529000516772,10.7600768694033,9.67508762663444,9.59950466535855,9.42505741847904,-0.264815010132121,3
"NT","2","1",2,"M","19",7.13344680343983,8.76048696874563,8.50655084985657,10.6186802885232,9.58018796700522,9.52288498509896,9.42073662321303,-0.341434690391706,3
"NT","2","1",2,"M","20",7.19965310877425,8.96786315240737,8.61148240220177,10.7581057785691,9.68223217593697,9.64742410357609,9.46327324891402,-0.216895571914579,3
"NT","0","2",0,"F","1",7.70041447075696,9.20148282112642,8.89557873575681,11.1059788349674,10.0694967868387,10.0330417382715,9.84172390805407,0.168722062780789,1
