"treatment","replicate","cohort","sex","individual","femur","head","tarsus","thorax","tibia","wing","thorax_c"
"SCT","4",0,"F","18",9.25436057050856,9.85475498152819,7.71885899505433,10.0591163781093,8.91536944996306,11.1572733397799,0.302943888807404
"SCT","4",0,"F","19",9.2593214933763,9.87083629515127,7.65117635915528,10.1096975218781,9.01879100018965,11.1382472923757,0.353525032576151
"SCT","4",0,"F","2",9.08892460093448,9.87368224372651,7.76566540180917,10.0742343797329,9.05185909942259,11.1486340933717,0.318061890431011
"SCT","4",0,"F","20",9.14754033856274,9.89420415552192,7.80644096299666,10.1028495061079,8.92809030074073,11.1659335715244,0.346677016805963
"SCT","4",0,"F","3",9.16815437662259,9.88457311908742,7.74389858651525,10.1167428017275,8.91108925366711,11.1346581455141,0.36057031242553
"SCT","4",0,"F","4",9.16636212746874,9.82166191559533,7.63733384902604,10.1010841588884,8.89518233129389,11.1683677579479,0.344911669586519
"SCT","4",0,"F","5",9.24899448104149,9.89796382720361,7.75777687043417,10.1455209224206,8.95862025600351,11.1475982988108,0.389348433118689
"SCT","4",0,"F","6",9.24013805404237,9.90633780251817,7.66995598283868,10.1429719047079,8.96919052130387,11.1416695755978,0.386799415406013
"SCT","4",0,"F","7",9.35214789118162,9.92120707814972,7.74908429950941,10.0993753561564,9.01801998559977,11.110592201449,0.34320286685452
"SCT","4",0,"F","8",9.27525081509687,9.92088876709195,7.65517555332122,10.076823195729,8.99731836006235,11.1226109681252,0.320650706427051
"SCT","4",0,"F","9",9.29315069516353,9.86191860372364,7.69258608574068,10.0730117198137,9.08459154286641,11.1356269385525,0.316839230511748
"SCT","4",0,"M","1",9.19389027020811,9.72096548655228,7.54747164273136,9.89415903631689,8.89987510623964,10.9921436314367,0.137986547014959
"SCT","4",0,"M","10",9.30718447717117,9.82841001164126,7.70494663882954,9.94950069048532,9.05036681226265,10.9724395136192,0.193328201183389
"SCT","4",0,"M","11",9.17609928543272,9.73926568873327,7.50487836920813,10.0036003537874,8.94991042639171,10.882155280377,0.247427864485465
"SCT","4",0,"M","12",9.19645388199153,9.80385542819184,7.47310712969592,9.90835251955072,9.02467644087098,10.9026503813657,0.152180030248797
"SCT","4",0,"M","13",9.27582235438548,9.77233322338545,7.66899377750136,9.9356506855455,9.03685609048278,11.0492795061357,0.179478196243572
"SCT","4",0,"M","14",9.26910982198361,9.84065087207291,7.7083892135715,9.94888179580987,8.95600742057727,10.9228708400017,0.192709306507947
"SCT","4",0,"M","15",9.26056015697571,9.74903752401415,7.53518399542557,9.93534376763401,8.94006635700255,10.9917378111561,0.179171278332085
"SCT","4",0,"M","16",9.2324587066072,9.78447302342626,7.53915687200049,9.94487427679936,8.97806712881135,NA,0.188701787497434
"SCT","4",0,"M","17",9.2119125815956,9.73259746705783,7.51637084221959,9.92160832679823,8.9442561176023,10.9232495168055,0.1654358374963
"SCT","4",0,"M","18",9.08746525143747,9.65354055615239,7.45379792901032,9.80703719783692,8.83313938582973,10.8538388981363,0.0508647085349914
"SCT","4",0,"M","19",9.19024301518694,9.72747233385718,7.61657763282966,9.87185907780822,9.01558522280361,10.9938999908555,0.115686588506296
"SCT","4",0,"M","2",9.30867474228001,9.81708807498554,7.4740582925249,9.91788488328166,9.03794896781514,11.0147100358752,0.16171239397973
"SCT","4",0,"M","20",9.15889383632287,9.78233847364496,7.48033832135692,9.95445042692483,8.85249561061931,10.9356657557254,0.198277937622899
"SCT","4",0,"M","3",9.09628263512231,9.76259177901348,7.56834822904311,9.84481518859072,8.92467626293116,10.87132199245,0.0886426992887888
"SCT","4",0,"M","4",9.0588748883492,9.83739287355285,7.43537446127693,9.91886931642919,8.84516823716013,10.9450022326174,0.162696827127267
"SCT","4",0,"M","5",9.14587861002417,9.75296138837768,7.49059546623174,9.97093759696572,8.91133449716577,10.9035037780275,0.214765107663798
"SCT","4",0,"M","6",9.26727765672035,9.84081767572653,7.59979920143833,9.95757622935474,9.02550569882123,10.9548073864152,0.201403740052813
"SCT","4",0,"M","7",9.16226989027345,9.77815156251282,7.66226680526941,9.92673723451938,8.9038021375473,10.9266738214736,0.170564745217455
"SCT","4",0,"M","8",9.07098495295676,9.61425817042652,7.20838324188309,9.82200288748271,8.88022036555206,10.8260867986119,0.0658303981807791
"SCT","4",0,"M","9",9.18419904656671,9.80848930173465,7.55202585224701,9.98338661194482,8.97215368199651,10.9812922323272,0.227214122642899
"SCT","4",1,"F","1",9.2268625965104,9.81787616562258,7.58749072229032,9.99121982920648,8.91236517871252,11.0767573516631,0.235047339904549
"SCT","4",1,"F","10",9.02532031605367,9.77996575485817,7.5931300916101,9.91140137452169,8.97413997564582,11.0231454399318,0.155228885219763
"SCT","4",1,"F","11",9.20243316954169,9.79563921016576,7.72618978476754,9.99394867500973,8.99796931045936,11.0793490892219,0.237776185707808
"SCT","4",1,"F","12",9.02466613653202,9.71106181538313,7.37402986118965,9.86907552584622,8.90030198728704,11.0017589335179,0.112903036544298
"SCT","4",1,"F","13",8.98233383339661,9.70294540230392,7.49528788822007,9.92786441866509,8.79191160687489,11.038093175999,0.171691929363162
