Initials,Treatment,Replicate,Generation,Cohort,Sex,Individual,Trait,length,scale,scale_mm,length_mm,NewTrait,Cohort0
AW,NT,1,35,3,F,5,L,358.309,1.48e-6,0.00148,0.5302973200000001,femur,2
AW,NT,1,35,3,F,5,L,277.395,1.48e-6,0.00148,0.4105446,tibia,2
AW,NT,1,35,3,F,4,L,344.384,1.48e-6,0.00148,0.50968832,femur,2
AW,NT,1,35,3,F,4,L,273.642,1.48e-6,0.00148,0.40499016,tibia,2
AW,NT,1,35,3,F,3,L,355.688,1.48e-6,0.00148,0.5264182399999999,femur,2
AW,NT,1,35,3,F,3,L,293.212,1.48e-6,0.00148,0.43395375999999997,tibia,2
AW,NT,1,35,3,F,2,L,331.489,1.48e-6,0.00148,0.49060371999999997,femur,2
AW,NT,1,35,3,F,2,L,259.278,1.48e-6,0.00148,0.38373144000000003,tibia,2
AW,NT,1,35,3,F,1,L,336.923,1.48e-6,0.00148,0.49864604,femur,2
AW,NT,1,35,3,F,1,L,282.392,1.48e-6,0.00148,0.41794016,tibia,2
AW,NT,1,35,3,F,20,L,347.19,1.48e-6,0.00148,0.5138412,femur,2
AW,NT,1,35,3,F,20,L,294.16,1.48e-6,0.00148,0.43535680000000004,tibia,2
AW,NT,1,35,3,M,19,L,293.027,1.48e-6,0.00148,0.43367996,femur,2
AW,NT,1,35,3,M,19,L,245.734,1.48e-6,0.00148,0.36368632,tibia,2
AW,NT,1,35,3,M,18,L,303.2,1.48e-6,0.00148,0.44873599999999997,femur,2
AW,NT,1,35,3,M,18,L,230.671,1.48e-6,0.00148,0.34139307999999996,tibia,2
AW,NT,1,35,3,M,17,L,334.524,1.48e-6,0.00148,0.49509552,femur,2
AW,NT,1,35,3,M,17,L,264.864,1.48e-6,0.00148,0.39199871999999997,tibia,2
AW,NT,1,35,3,M,16,L,342.473,1.48e-6,0.00148,0.5068600400000001,femur,2
AW,NT,1,35,3,M,16,L,269.7,1.48e-6,0.00148,0.39915599999999996,tibia,2
AW,NT,1,35,3,M,15,L,309.375,1.48e-6,0.00148,0.457875,femur,2
AW,NT,1,35,3,M,15,L,244.233,1.48e-6,0.00148,0.36146484,tibia,2
AW,NT,1,35,3,M,14,L,322.672,1.48e-6,0.00148,0.47755456,femur,2
AW,NT,1,35,3,M,14,L,259.332,1.48e-6,0.00148,0.38381136,tibia,2
AW,NT,1,35,3,M,13,L,339.949,1.48e-6,0.00148,0.50312452,femur,2
AW,NT,1,35,3,M,13,L,285.465,1.48e-6,0.00148,0.4224882,tibia,2
AW,NT,1,35,3,M,12,L,312.775,1.48e-6,0.00148,0.46290699999999996,femur,2
AW,NT,1,35,3,M,12,L,251.191,1.48e-6,0.00148,0.37176268,tibia,2
AW,NT,1,35,3,M,11,L,352.751,1.48e-6,0.00148,0.5220714799999999,femur,2
AW,NT,1,35,3,M,11,L,281.517,1.48e-6,0.00148,0.41664516,tibia,2
AW,NT,1,35,3,M,10,L,310.698,1.48e-6,0.00148,0.45983303999999997,femur,2
AW,NT,1,35,3,M,10,L,242.405,1.48e-6,0.00148,0.3587594,tibia,2
AW,NT,1,35,3,M,9,L,345.307,1.48e-6,0.00148,0.51105436,femur,2
AW,NT,1,35,3,M,9,L,284.297,1.48e-6,0.00148,0.42075956000000003,tibia,2
AW,NT,1,35,3,M,8,L,325.26,1.48e-6,0.00148,0.4813848,femur,2
AW,NT,1,35,3,M,8,L,260.317,1.48e-6,0.00148,0.38526916,tibia,2
AW,NT,1,35,3,M,7,L,353.726,1.48e-6,0.00148,0.52351448,femur,2
AW,NT,1,35,3,M,7,L,293.293,1.48e-6,0.00148,0.43407364,tibia,2
AW,NT,1,35,3,M,6,L,335.216,1.48e-6,0.00148,0.49611968,femur,2
AW,NT,1,35,3,M,6,L,283.487,1.48e-6,0.00148,0.41956076000000003,tibia,2
AW,NT,1,35,3,M,5,L,316.31,1.48e-6,0.00148,0.4681388,femur,2
AW,NT,1,35,3,M,5,L,277.683,1.48e-6,0.00148,0.41097084,tibia,2
AW,NT,1,35,3,M,4,L,339.888,1.48e-6,0.00148,0.50303424,femur,2
AW,NT,1,35,3,M,4,L,278.883,1.48e-6,0.00148,0.41274683999999995,tibia,2
AW,NT,1,35,3,M,3,L,335.276,1.48e-6,0.00148,0.49620848,femur,2
AW,NT,1,35,3,M,3,L,287.367,1.48e-6,0.00148,0.42530316,tibia,2
AW,NT,1,35,3,M,2,L,346.66,1.48e-6,0.00148,0.5130568,femur,2
AW,NT,1,35,3,M,2,L,262.682,1.48e-6,0.00148,0.38876936,tibia,2
AW,NT,1,35,3,M,1,L,345.974,1.48e-6,0.00148,0.51204152,femur,2
AW,NT,1,35,3,M,1,L,256.681,1.48e-6,0.00148,0.37988787999999996,tibia,2
AW,NT,1,35,3,M,20,L,338.325,1.48e-6,0.00148,0.500721,femur,2
AW,NT,1,35,3,M,20,L,264.273,1.48e-6,0.00148,0.39112404,tibia,2
AW,NT,2,35,1,F,19,L,335.048,1.86e-6,0.0018599999999999999,0.62318928,femur,0
AW,NT,2,35,1,F,19,L,262.322,1.86e-6,0.0018599999999999999,0.48791892,tibia,0
AW,NT,2,35,1,F,18,L,321.809,1.86e-6,0.0018599999999999999,0.59856474,femur,0
AW,NT,2,35,1,F,18,L,265.277,1.86e-6,0.0018599999999999999,0.49341521999999993,tibia,0
AW,NT,2,35,1,F,17,L,327.086,1.86e-6,0.0018599999999999999,0.6083799599999999,femur,0
AW,NT,2,35,1,F,17,L,252.288,1.86e-6,0.0018599999999999999,0.46925568,tibia,0
AW,NT,2,35,1,F,16,L,318.522,1.86e-6,0.0018599999999999999,0.59245092,femur,0
AW,NT,2,35,1,F,16,L,253.789,1.86e-6,0.0018599999999999999,0.47204753999999993,tibia,0
AW,NT,2,35,1,F,15,L,321.727,1.86e-6,0.0018599999999999999,0.5984122199999999,femur,0
AW,NT,2,35,1,F,15,L,246.343,1.86e-6,0.0018599999999999999,0.45819797999999995,tibia,0
AW,NT,2,35,1,F,14,L,318.911,1.86e-6,0.0018599999999999999,0.59317446,femur,0
AW,NT,2,35,1,F,14,L,259.471,1.86e-6,0.0018599999999999999,0.48261605999999996,tibia,0
AW,NT,2,35,1,F,13,L,323.311,1.86e-6,0.0018599999999999999,0.6013584599999999,femur,0
AW,NT,2,35,1,F,13,L,284.004,1.86e-6,0.0018599999999999999,0.52824744,tibia,0
AW,NT,2,35,1,F,12,L,322.616,1.86e-6,0.0018599999999999999,0.6000657599999999,femur,0
